"","x"
"1",865
"2",1115
"3",1195
"4",1075
"5",1084
"6",1186
"7",963
"8",1012
"9",748
"10",856
"11",809
"12",604
"13",752
"14",991
"15",1143
"16",983
"17",1069
"18",1276
"19",869
"20",904
"21",704
"22",924
"23",1022
"24",727
"25",864
"26",742
"27",892
"28",843
"29",983
"30",907
"31",742
"32",858
"33",671
"34",822
"35",858
"36",722
"37",811
"38",926
"39",1106
"40",970
"41",934
"42",1015
"43",912
"44",819
"45",732
"46",751
"47",633
"48",584
"49",561
"50",623
"51",791
"52",762
"53",854
"54",909
"55",966
"56",712
"57",742
"58",746
"59",693
"60",648
"61",564
"62",590
"63",800
"64",814
"65",731
"66",836
"67",722
"68",782
"69",704
"70",695
"71",585
"72",586
"73",620
"74",528
"75",931
"76",720
"77",778
"78",933
"79",926
"80",1015
"81",776
"82",784
"83",630
"84",567
"85",578
"86",762
"87",790
"88",787
"89",768
"90",730
