"","x"
"1",3681
"2",3618
"3",4502
"4",3691
"5",4107
"6",3722
"7",3631
"8",4402
"9",4109
"10",3839
"11",3462
"12",2644
"13",2685
"14",2471
"15",3139
"16",3457
"17",4126
"18",4508
"19",6261
"20",4065
"21",3644
"22",4618
"23",3886
"24",2774
"25",2889
"26",2863
"27",3071
"28",3738
"29",3854
"30",3501
"31",3801
"32",3643
"33",3590
"34",4013
"35",3208
"36",2668
"37",2281
"38",2634
"39",3776
"40",3499
"41",3433
"42",3862
"43",3451
"44",3594
"45",3640
"46",3900
"47",3323
"48",2603
"49",2576
"50",2767
"51",3384
"52",3760
"53",3468
"54",3611
"55",3511
"56",3579
"57",3460
"58",3459
"59",3155
"60",2229
"61",2310
"62",2211
"63",3137
"64",3798
"65",3137
"66",3524
"67",2963
"68",3423
"69",3099
"70",3074
"71",2590
"72",2281
"73",2049
"74",2362
"75",3098
"76",3426
"77",3071
"78",3420
