"YYQQ","Single Family","Condominium","2-to-4 Unit Building","5+ Unit Building"
"1997Q1",79.3,82.9,73.7,79.8
"1997Q2",82.1,84.3,78.1,84.9
"1997Q3",84.3,85.7,81.5,87.4
"1997Q4",85.8,85.8,81.5,88.3
"1998Q1",85.8,87.8,84.2,87.2
"1998Q2",86.6,88.1,84.4,87.6
"1998Q3",87.8,89.8,87.2,88.5
"1998Q4",89.2,89.7,89.5,94.3
"1999Q1",91.4,90.9,91.1,93.9
"1999Q2",92.6,92.5,93.8,95.4
"1999Q3",94.6,94.0,95.0,96.5
"1999Q4",96.6,98.1,98.2,98.4
"2000Q1",100.0,100.0,100.0,100.0
"2000Q2",102.2,102.1,102.5,103.6
"2000Q3",104.1,103.9,106.2,110.5
"2000Q4",106.8,108.2,110.7,115.6
"2001Q1",108.2,111.1,113.9,121.8
"2001Q2",111.1,115.0,114.4,123.1
"2001Q3",113.9,117.3,117.9,125.3
"2001Q4",115.9,117.0,114.0,124.6
"2002Q1",117.2,120.2,121.7,128.5
"2002Q2",121.1,121.6,129.0,134.1
"2002Q3",123.3,124.5,131.6,141.0
"2002Q4",124.7,126.0,135.1,146.4
"2003Q1",128.9,127.2,136.2,156.5
"2003Q2",130.7,129.7,141.9,160.3
"2003Q3",133.4,132.0,146.9,166.3
"2003Q4",136.7,133.9,152.1,169.6
"2004Q1",139.0,137.2,154.7,168.1
"2004Q2",142.1,140.4,155.1,186.5
"2004Q3",146.2,144.7,160.4,192.7
"2004Q4",148.7,146.6,165.9,193.7
"2005Q1",153.3,146.3,180.4,204.3
"2005Q2",158.1,153.2,188.4,208.3
"2005Q3",162.0,152.5,193.0,206.1
"2005Q4",165.1,154.2,196.1,220.6
"2006Q1",169.4,156.4,194.9,221.9
"2006Q2",170.9,157.7,204.5,217.6
"2006Q3",170.7,156.8,204.6,218.6
"2006Q4",173.7,154.0,214.1,221.2
"2007Q1",172.6,159.8,209.7,207.1
"2007Q2",172.7,158.6,190.1,206.7
"2007Q3",170.2,156.5,186.2,201.5
"2007Q4",167.4,155.8,186.2,211.9
"2008Q1",168.6,153.3,186.1,201.3
"2008Q2",164.4,149.8,187.5,202.0
"2008Q3",158.8,147.2,167.5,209.5
"2008Q4",153.0,143.6,130.3,189.1
"2009Q1",142.2,138.6,118.4,180.6
"2009Q2",134.2,131.9,100.4,145.0
"2009Q3",134.2,125.9,99.0,146.9
"2009Q4",131.7,125.3,94.7,142.0
"2010Q1",127.9,121.7,85.7,120.2
"2010Q2",124.0,114.2,88.2,131.4
"2010Q3",119.7,106.5,86.0,119.1
"2010Q4",117.4,97.9,84.4,116.2
"2011Q1",114.2,89.9,93.4,128.9
"2011Q2",110.9,86.9,93.0,128.2
"2011Q3",109.2,85.4,87.3,129.6
"2011Q4",105.7,80.6,90.6,137.8
"2012Q1",104.6,77.2,85.3,151.3
"2012Q2",106.2,76.5,84.6,159.4
"2012Q3",105.6,74.6,90.4,148.2
"2012Q4",104.8,72.7,92.3,139.4
"2013Q1",108.2,73.2,92.4,133.9
