municipality,county,number_taxpayers,tax_type,year,quarter,general_merchandise,food,drinking_and_eating_places,apparel,furniture_and_hh_and_radio,lumber_bldg_hardware,automotive_and_filling_stations,drugs_and_misc_retail,agriculture_and_all_others,manufacturers,total
Chicago,Cook County,27776,ST,1999,3,16705752.05,10852723.49,41165599.02,14146355.68,9921748.35,8074102.18,30431330.27,23077247.85,28909307.95,5419413.06,188703579.90
Chicago,Cook County,27776,MT,1999,3,3441629.98,7209429.85,8496375.79,2831806.97,1990770.32,1615981.56,6150577.52,6537037.00,6136855.38,1177951.04,45588415.41
Chicago,Cook County,27776,HMR,1999,3,3339921.31,2164270.23,8198507.65,2819063.29,1968259.76,1613235.94,1903714.77,4598359.14,5523342.93,1067595.06,33196270.08
Chicago,Cook County,27776,CHMR,1999,3,2504807.05,1622720.26,6147004.89,2113484.61,1474874.16,1209277.78,1424514.05,3446778.21,4130421.95,797380.12,24871263.08
Chicago,Cook County,27776,MPEA,1999,3,25751.96,279190.22,4279563.19,48720.00,,215.00,14682.00,57172.97,706566.76,11443.77,5423305.87
Chicago,Cook County,27776,RTA,1999,3,2606385.06,6664215.26,6415611.28,2118975.28,1493477.81,1211288.80,4630030.44,5382456.54,4682529.88,907651.40,36112621.75
Chicago,Cook County,27776,SRTA,1999,3,835034.84,541485.45,2055925.58,706931.15,493946.01,403653.98,1520065.26,1151569.01,1444278.09,267795.60,9420684.97
Chicago,DuPage County,23,ST,1999,3,,,,,,,,465.90,1411.42,5634.99,43530.23
Chicago,DuPage County,23,MT,1999,3,,,,,,,,-113.91,226.94,1163.99,8480.38
Chicago,DuPage County,23,HMR,1999,3,,,,,,,,93.08,219.98,1126.02,3438.67
Chicago,DuPage County,23,CST,1999,3,,,,,,,,23.24,55.93,281.74,2161.61
Chicago,DuPage County,23,RTA,1999,3,,,,,,,,-28.52,71.29,290.70,2133.60
Chicago,Cook County,32186,ST,1999,4,23140396.76,11424373.93,41213276.03,17368930.76,11968003.66,7436752.67,28280985.79,28226365.95,30324203.31,6262629.36,205645918.22
Chicago,Cook County,32186,MT,1999,4,4790215.16,7766822.84,8543773.48,3477994.69,2400245.42,1488880.65,5716328.55,7778952.47,6425341.00,1383783.47,49772337.73
Chicago,Cook County,32186,HMR,1999,4,4626194.35,2279385.87,8206565.70,3465772.86,2385930.50,1487023.43,1879045.05,5636631.42,5846492.80,1247174.58,37060216.56
Chicago,Cook County,32186,CHMR,1999,4,3469575.97,1708921.22,6153733.37,2598007.24,1784745.21,1114525.37,1408082.17,4212738.81,4356280.54,927996.89,27734606.79
Chicago,Cook County,32186,MPEA,1999,4,48014.00,271965.09,4788226.83,53241.91,,359.00,18333.59,57664.00,504359.61,7442.24,5749606.27
Chicago,Cook County,32186,RTA,1999,4,3633375.29,7192389.53,6465864.26,2604189.43,1799407.63,1116776.08,4303365.16,6366579.14,4907781.94,1070020.52,39459748.98
Chicago,Cook County,32186,SRTA,1999,4,1156624.93,570072.88,2058604.30,868414.39,598162.74,371802.03,1412444.74,1410224.32,1508329.95,312411.65,10267091.93
Chicago,DuPage County,30,ST,1999,4,,,,,,,,5647.87,5130.83,5188.71,35581.81
Chicago,DuPage County,30,MT,1999,4,,,,,,,,1164.33,1033.35,1089.70,7209.82
Chicago,DuPage County,30,HMR,1999,4,,,,,,,,1129.33,1018.95,1037.67,3790.74
Chicago,DuPage County,30,CST,1999,4,,,,,,,,282.31,256.41,259.43,1778.52
Chicago,DuPage County,30,RTA,1999,4,,,,,,,,290.95,258.24,272.37,1801.79
Chicago,Cook County,28860,ST,2000,1,14828532.37,10475098.21,37593956.65,11925064.52,10076637.32,6773676.88,27126704.64,22782636.92,23477706.06,5375377.57,170435391.14
Chicago,Cook County,28860,MT,2000,1,3091981.01,7281640.05,7955271.96,2385185.05,2019668.03,1355410.06,5480333.94,6653318.90,5113510.64,1206583.20,42542902.84
Chicago,Cook County,28860,HMR,2000,1,2965442.42,2089125.14,7473465.31,2375712.75,2004396.28,1353041.36,1860328.07,4543603.52,4528289.15,1071770.95,30265174.95
Chicago,Cook County,28860,CHMR,2000,1,2224080.18,1565652.13,5603709.54,1780733.36,1502179.49,1014297.27,1393081.46,3388553.23,3388772.97,799040.03,22660099.66
